"favorite href","hide-text","image2 href","SearchResultProductImage src","hide-text 2","sku","productClickItemV2","spec_1","spec_2","spec_3","spec_4","spec_5","spec_6","spec_1 2","spec_2 2","spec_3 2","bv_main_container href","bv_stars_svg_no_wrap href","bv_text","bv_text 2","availabilityTrunc","standardDiscount","sr-only","text-red","price","btn-add href","hide-text 3","hide-text 4","highlight","highlight href","spec_7","spec_8"
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d675053","Add SKU:649830 to wishlist","https://www.microcenter.com/product/675053/asus-rog-strix-g15dk-mh764ti-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0675053_649830.jpg","Compare Item ROG Strix G15DK-MH764Ti Gaming PC>","SKU: 649830","ASUS ROG Strix G15DK-MH764Ti Gaming PC;  AMD Ryzen 7 5800X 3.8GHz Processor;  NVIDIA GeForce RTX 3060 Ti 8GB GDDR6;  16GB DDR4 RAM;  1TB Solid State Drive","AMD Ryzen 7 5800X 3.8GHz Processor","NVIDIA GeForce RTX 3060 Ti 8GB GDDR6","16GB DDR4 RAM","1TB Solid State Drive","Microsoft Windows 11 Home","2x2 Wi-Fi 6 802.11ax+Bluetooth 5.3 Wireless Card","AMD Ryzen 7 5800X 3.8GHz Processor","NVIDIA GeForce RTX 3060 Ti 8GB GDDR6","16GB DDR4 RAM","https://www.microcenter.com/product/675053/asus-rog-strix-g15dk-mh764ti-gaming-pc#tab-reviews-bm","[object Object]","3.3","(16)","Usually ships in 5-7 business days.","$999.99","Original price","Save $250.00","749.99","https://www.microcenter.com/quickView/675053/asus-rog-strix-g15dk-mh764ti-gaming-pc","ROG Strix G15DK-MH764Ti Gaming PC","- Item: ROG Strix G15DK-MH764Ti Gaming PC SKU 649830","","","",""
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d688719","Add SKU:783704 to wishlist","https://www.microcenter.com/product/688719/lenovo-legion-t5-26irb8-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0688719_783704.jpg","Compare Item Legion T5 26IRB8 Gaming PC>","SKU: 783704","Lenovo Legion T5 26IRB8 Gaming PC;  Intel Core i7 13th Gen 13700F 1.5GHz Processor;  NVIDIA GeForce RTX 4070 12GB GDDR6X;  16GB DDR5-5600 RAM;  1TB Solid State Drive","Intel Core i7 13th Gen 13700F 1.5GHz Processor","NVIDIA GeForce RTX 4070 12GB GDDR6X","16GB DDR5-5600 RAM","1TB Solid State Drive","Microsoft Windows 11 Home","2.5GbE LAN","","","","https://www.microcenter.com/product/688719/lenovo-legion-t5-26irb8-gaming-pc#tab-reviews-bm","[object Object]","4.7","(65)","Usually ships in 5-7 business days.","$1,599.99","Original price","Save $400.00","1,199.99","https://www.microcenter.com/quickView/688719/lenovo-legion-t5-26irb8-gaming-pc","Legion T5 26IRB8 Gaming PC","- Item: Legion T5 26IRB8 Gaming PC SKU 783704","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","2x2 Wi-Fi 6E 802.11ax+Bluetooth 5.3",""
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d677740","Add SKU:675363 to wishlist","https://www.microcenter.com/product/677740/hp-victus-15l-tg02-2051-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0677740_675363.jpg","Compare Item Victus 15L TG02-2051 Gaming PC>","SKU: 675363","HP Victus 15L TG02-2051 Gaming PC;  Intel Core i7 14th Gen 14700F 1.5GHz Processor;  NVIDIA GeForce RTX 4060 Ti 8GB GDDR6;  32GB DDR4-3200 RAM;  1TB Solid State Drive","Intel Core i7 14th Gen 14700F 1.5GHz Processor","NVIDIA GeForce RTX 4060 Ti 8GB GDDR6","32GB DDR4-3200 RAM","1TB Solid State Drive","Microsoft Windows 11 Home","10/100/1000 Network","","","","https://www.microcenter.com/product/677740/hp-victus-15l-tg02-2051-gaming-pc#tab-reviews-bm","[object Object]","4.6","(373)","Usually ships in 5-7 business days.","$1,399.99","Original price","Save $200.00","1,199.99","https://www.microcenter.com/quickView/677740/hp-victus-15l-tg02-2051-gaming-pc","Victus 15L TG02-2051 Gaming PC","- Item: Victus 15L TG02-2051 Gaming PC SKU 675363","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","2x2 Wi-Fi 6+Bluetooth 5.3 Wireless Card",""
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d680723","Add SKU:706945 to wishlist","https://www.microcenter.com/product/680723/asus-rog-strix-g16chr-ms776s-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0680723_706945.jpg","Compare Item ROG Strix G16CHR-MS776S Gaming PC>","SKU: 706945","ASUS ROG Strix G16CHR-MS776S Gaming PC;  Intel Core i7 14th Gen 14700KF 2.5GHz Processor;  NVIDIA GeForce RTX 4070 Super Dual 12GB GDDR6X;  32GB DDR5-4800 RAM;  1TB Solid State Drive","Intel Core i7 14th Gen 14700KF 2.5GHz Processor","NVIDIA GeForce RTX 4070 Super Dual 12GB GDDR6X","32GB DDR5-4800 RAM","1TB Solid State Drive","Microsoft Windows 11 Home","2.5GbE LAN","","","","https://www.microcenter.com/product/680723/asus-rog-strix-g16chr-ms776s-gaming-pc#tab-reviews-bm","[object Object]","3.3","(3)","Usually ships in 5-7 business days.","$1,799.99","Original price","Save $200.00","1,599.99","https://www.microcenter.com/quickView/680723/asus-rog-strix-g16chr-ms776s-gaming-pc","ROG Strix G16CHR-MS776S Gaming PC","- Item: ROG Strix G16CHR-MS776S Gaming PC SKU 706945","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","2x2 Wi-Fi 6E+Bluetooth 5.3 Wireless Card","240mm Liquid Cooler"
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d682376","Add SKU:722843 to wishlist","https://www.microcenter.com/product/682376/acer-nitro-60-n60-640-ur11-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0682376_722843.jpg","Compare Item Nitro 60 N60-640-UR11 Gaming PC>","SKU: 722843","Acer Nitro 60 N60-640-UR11 Gaming PC;  Intel Core i5 14th Gen 14400F 1.8GHz Processor;  NVIDIA GeForce RTX 4060 8GB GDDR6;  16GB DDR5;  1TB Solid State Drive","Intel Core i5 14th Gen 14400F 1.8GHz Processor","NVIDIA GeForce RTX 4060 8GB GDDR6","16GB DDR5","1TB Solid State Drive","Microsoft Windows 11 Home","10/100/1000 Network","","","","","","","","Usually ships in 5-7 business days. Limited availability. May not be in stock at time of order. No back orders.","$1,199.99","Original price","Save $200.00","999.99","https://www.microcenter.com/quickView/682376/acer-nitro-60-n60-640-ur11-gaming-pc","Nitro 60 N60-640-UR11 Gaming PC","- Item: Nitro 60 N60-640-UR11 Gaming PC SKU 722843","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","2x2 802.11ac Wireless","Bluetooth 4.2"
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d680577","Add SKU:707224 to wishlist","https://www.microcenter.com/product/680577/lenovo-legion-t7-34irz8-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0680577_707224.jpg","Compare Item Legion T7 34IRZ8 Gaming PC>","SKU: 707224","Lenovo Legion T7 34IRZ8 Gaming PC;  Intel Core i9 14th Gen 14900KF 2.4GHz Processor;  NVIDIA GeForce RTX 4070 Ti SUPER 16GB GDDR6X;  32GB DDR5-5600 RAM;  2TB Solid State Drive","Intel Core i9 14th Gen 14900KF 2.4GHz Processor","NVIDIA GeForce RTX 4070 Ti SUPER 16GB GDDR6X","32GB DDR5-5600 RAM","2TB Solid State Drive","Microsoft Windows 11 Pro","2.5GbE Network","","","","","","","","Usually ships in 5-7 business days. Limited availability. May not be in stock at time of order. No back orders.","$2,799.99","Original price","Save $400.00","2,399.99","https://www.microcenter.com/quickView/680577/lenovo-legion-t7-34irz8-gaming-pc","Legion T7 34IRZ8 Gaming PC","- Item: Legion T7 34IRZ8 Gaming PC SKU 707224","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","2x2 Wi-Fi 6E+Bluetooth 5.3",""
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d679567","Add SKU:693903 to wishlist","https://www.microcenter.com/product/679567/dell-alienware-aurora-r16-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0679567_693903.jpg","Compare Item Alienware Aurora R16 Gaming PC>","SKU: 693903","Dell Alienware Aurora R16 Gaming PC;  Intel Core i9 14th Gen 14900KF 2.4GHz Processor;  NVIDIA GeForce RTX 4080 SUPER 16GB GDDR6X;  32GB DDR5-5600 RAM;  2TB Solid State Drive","Intel Core i9 14th Gen 14900KF 2.4GHz Processor","NVIDIA GeForce RTX 4080 SUPER 16GB GDDR6X","32GB DDR5-5600 RAM","2TB Solid State Drive","Microsoft Windows 11 Pro","Killer Networking E3100","","","","https://www.microcenter.com/product/679567/dell-alienware-aurora-r16-gaming-pc#tab-reviews-bm","[object Object]","5.0","(1)","Usually ships in 5-7 business days. Limited availability. May not be in stock at time of order. No back orders.","$3,099.99","Original price","Save $100.00","2,999.99","https://www.microcenter.com/quickView/679567/dell-alienware-aurora-r16-gaming-pc","Alienware Aurora R16 Gaming PC","- Item: Alienware Aurora R16 Gaming PC SKU 693903","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","2x2 Intel Wi-Fi 6E AX210+Bluetooth 5.3 Wireless Card","240mm Liquid Cooling"
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d685639","Add SKU:758912 to wishlist","https://www.microcenter.com/product/685639/msi-aegis-z2-c8nue-1059us-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0685639_758912.jpg","Compare Item Aegis Z2 C8NUE-1059US Gaming PC>","SKU: 758912","MSI Aegis Z2 C8NUE-1059US Gaming PC;  AMD Ryzen 7 8700F 4.1GHz Processor;  NVIDIA GeForce RTX 4070 12GB GDDR6;  32GB DDR5-5600 RAM;  1TB Solid State Drive","AMD Ryzen 7 8700F 4.1GHz Processor","NVIDIA GeForce RTX 4070 12GB GDDR6","32GB DDR5-5600 RAM","1TB Solid State Drive","Microsoft Windows 11 Home","2.5GbE LAN","AMD Ryzen 7 8700F 4.1GHz Processor","NVIDIA GeForce RTX 4070 12GB GDDR6","32GB DDR5-5600 RAM","https://www.microcenter.com/product/685639/msi-aegis-z2-c8nue-1059us-gaming-pc#tab-reviews-bm","[object Object]","5.0","(1)","Usually ships in 5-7 business days.","","","","1,399.99","https://www.microcenter.com/quickView/685639/msi-aegis-z2-c8nue-1059us-gaming-pc","Aegis Z2 C8NUE-1059US Gaming PC","- Item: Aegis Z2 C8NUE-1059US Gaming PC SKU 758912","","","Wi-Fi 6E","Bluetooth 5.3"
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d682725","Add SKU:727081 to wishlist","https://www.microcenter.com/product/682725/clx-set-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0682725_727081.jpg","Compare Item SET Gaming PC>","SKU: 727081","CLX SET Gaming PC;  Intel Core i9 14th Gen 14900KF 3.2GHz Processor;  NVIDIA GeForce RTX 4070 SUPER 12GB GDDR6X;  32GB DDR5 RAM;  2TB Solid State Drive","Intel Core i9 14th Gen 14900KF 3.2GHz Processor","NVIDIA GeForce RTX 4070 SUPER 12GB GDDR6X","32GB DDR5 RAM","2TB Solid State Drive","Microsoft Windows 11 Pro","10/100/1000 Network","","","","","","","","Usually ships in 5-7 business days. Limited availability. May not be in stock at time of order. No back orders.","","","","2,299.99","https://www.microcenter.com/quickView/682725/clx-set-gaming-pc","SET Gaming PC","- Item: SET Gaming PC SKU 727081","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","802.11ac Wireless","Bluetooth"
"https://account.microcenter.com/auth/signin/?RedirectUrl=https%3a%2f%2fwww.microcenter.com%2fsearch%2fsearch_results.aspx%3ffavID%3d677701","Add SKU:674911 to wishlist","https://www.microcenter.com/product/677701/ibuypower-slate-mesh-smi7n47ts01-gaming-pc","https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0677701_674911.jpg","Compare Item Slate Mesh SMI7N47TS01 Gaming PC>","SKU: 674911","IBuyPower Slate Mesh SMI7N47TS01 Gaming PC;  Intel Core i7 14th Gen 14700KF 2.5GHz Processor;  NVIDIA GeForce RTX 4070 Ti SUPER  16GB GDDR6X;  32GB DDR5-5600 RAM;  2TB Solid State Drive","Intel Core i7 14th Gen 14700KF 2.5GHz Processor","NVIDIA GeForce RTX 4070 Ti SUPER  16GB GDDR6X","32GB DDR5-5600 RAM","2TB Solid State Drive","Microsoft Windows 11 Pro","240mm Liquid CPU Cooler","","","","https://www.microcenter.com/product/677701/ibuypower-slate-mesh-smi7n47ts01-gaming-pc#tab-reviews-bm","[object Object]","4.9","(18)","Usually ships in 5-7 business days.","$1,999.99","Original price","Save $200.00","1,799.99","https://www.microcenter.com/quickView/677701/ibuypower-slate-mesh-smi7n47ts01-gaming-pc","Slate Mesh SMI7N47TS01 Gaming PC","- Item: Slate Mesh SMI7N47TS01 Gaming PC SKU 674911","Get Assassin’s Creed Shadows with purchase of qualifying Intel product","https://www.microcenter.com/MiniSites/Intel_Holiday_Master_Key/main.html","",""
