title,link,Podcaster
Bloomberg Technology,https://podcasts.apple.com/ca/podcast/bloomberg-technology/id1611767434,Bloomberg
Daily Tech News Show,https://podcasts.apple.com/ca/podcast/daily-tech-news-show/id790864884,Tom Merritt
WSJ Tech News Briefing,https://podcasts.apple.com/ca/podcast/wsj-tech-news-briefing/id74844126,The Wall Street Journal
This Week in Tech (Audio),https://podcasts.apple.com/ca/podcast/this-week-in-tech-(audio)/id73329404,TWiT
TED Tech,https://podcasts.apple.com/ca/podcast/ted-tech/id470624027,TED Tech
What's New,https://podcasts.apple.com/ca/podcast/what's-new/id1143630029,WIRED
Software Engineering Daily,https://podcasts.apple.com/ca/podcast/software-engineering-daily/id1019576853,Software Engineering Daily
Cybersecurity Today,https://podcasts.apple.com/ca/podcast/cybersecurity-today/id1363182054,Jim Love
Tech Life,https://podcasts.apple.com/ca/podcast/tech-life/id802996636,BBC World Service
Tech Talk with Alan Perry,https://podcasts.apple.com/ca/podcast/tech-talk-with-alan-perry/id1286277202,Alan Perry
FT Tech Tonic,https://podcasts.apple.com/ca/podcast/ft-tech-tonic/id1169101860,Financial Times
Tech Café,https://podcasts.apple.com/ca/podcast/tech-caf%C3%A9/id916491698,Guillaume Vendé
Tech Won't Save Us,https://podcasts.apple.com/ca/podcast/tech-won't-save-us/id1507621076,Paris Marx
Big Technology Podcast,https://podcasts.apple.com/ca/podcast/big-technology-podcast/id1522960417,Alex Kantrowitz
The WAN Show,https://podcasts.apple.com/ca/podcast/the-wan-show/id1062997995,Linus Tech Tips
Hands-On Tech (Audio),https://podcasts.apple.com/ca/podcast/hands-on-tech-(audio)/id73802706,TWiT
Machines Like Us,https://podcasts.apple.com/ca/podcast/machines-like-us/id1484910273,The Globe and Mail
Accidental Tech Podcast,https://podcasts.apple.com/ca/podcast/accidental-tech-podcast/id617416468,"Marco Arment, Casey Liss, John Siracusa"
Babbage from The Economist,https://podcasts.apple.com/ca/podcast/babbage-from-the-economist/id508376907,The Economist
Tech Disruptors,https://podcasts.apple.com/ca/podcast/tech-disruptors/id1621165150,Bloomberg
Une Tasse de Tech,https://podcasts.apple.com/ca/podcast/une-tasse-de-tech/id1466835989,Alain McKenna & Pascal Forget
TechStuff,https://podcasts.apple.com/ca/podcast/techstuff/id282795787,iHeartPodcasts
Tech Unheard,https://podcasts.apple.com/ca/podcast/tech-unheard/id1768842197,Arm
120 secondes de Tech,https://podcasts.apple.com/ca/podcast/120-secondes-de-tech/id1757928420,Bruno Guglielminetti
CyberWire Daily,https://podcasts.apple.com/ca/podcast/cyberwire-daily/id1071831261,N2K Networks
POLITICO Tech,https://podcasts.apple.com/ca/podcast/politico-tech/id1500970749,POLITICO
Foundering,https://podcasts.apple.com/ca/podcast/foundering/id1161880916,Bloomberg
Sharp Tech with Ben Thompson,https://podcasts.apple.com/ca/podcast/sharp-tech-with-ben-thompson/id1646152812,Andrew Sharp and Ben Thompson
The 404 Media Podcast,https://podcasts.apple.com/ca/podcast/the-404-media-podcast/id1703615331,404 Media
The Race F1 Tech Show,https://podcasts.apple.com/ca/podcast/the-race-f1-tech-show/id1502430647,The Race Media Ltd
Techmeme Ride Home,https://podcasts.apple.com/ca/podcast/techmeme-ride-home/id1355212895,Ride Home Media
Cyber Security Headlines,https://podcasts.apple.com/ca/podcast/cyber-security-headlines/id1527478719,CISO Series
科技浪 Tech.wav,https://podcasts.apple.com/ca/podcast/%E7%A7%91%E6%8A%80%E6%B5%AA-tech.wav/id1702409419,哈利
Tech It Out,https://podcasts.apple.com/ca/podcast/tech-it-out/id1272785252,Radio America
Click Here,https://podcasts.apple.com/ca/podcast/click-here/id1225077306,Recorded Future News
Screen Time,https://podcasts.apple.com/ca/podcast/screen-time/id1611397373,TVO
This Week in Tech (Video),https://podcasts.apple.com/ca/podcast/this-week-in-tech-(video)/id478840375,TWiT
Windows Weekly (Audio),https://podcasts.apple.com/ca/podcast/windows-weekly-(audio)/id197875368,TWiT
Le rendez-vous Tech,https://podcasts.apple.com/ca/podcast/le-rendez-vous-tech/id303492600,frenchspin
Risky Business,https://podcasts.apple.com/ca/podcast/risky-business/id216478078,Patrick Gray
Behind The Tech with Kevin Scott,https://podcasts.apple.com/ca/podcast/behind-the-tech-with-kevin-scott/id1381008946,Microsoft
Rich On Tech,https://podcasts.apple.com/ca/podcast/rich-on-tech/id1120941458,iHeartPodcasts
Brad & Will Made a Tech Pod.,https://podcasts.apple.com/ca/podcast/brad-%26-will-made-a-tech-pod./id1479882159,"Brad Shoemaker, Will Smith"
Choses à Savoir TECH,https://podcasts.apple.com/ca/podcast/choses-%C3%A0-savoir-tech/id1516428638,Choses à Savoir
"Tech&Co, la quotidienne",https://podcasts.apple.com/ca/podcast/tech%26co%2C-la-quotidienne/id975125188,BFM Business
PowerTech Development Podcast,https://podcasts.apple.com/ca/podcast/powertech-development-podcast/id1550702101,PowerTech Online
This Week in Google (Audio),https://podcasts.apple.com/ca/podcast/this-week-in-google-(audio)/id326120877,TWiT
Markets Daily Crypto Roundup,https://podcasts.apple.com/ca/podcast/markets-daily-crypto-roundup/id1489356239,CoinDesk
Hacking Humans,https://podcasts.apple.com/ca/podcast/hacking-humans/id1391915810,N2K Networks
The AI News Rundown,https://podcasts.apple.com/ca/podcast/the-ai-news-rundown/id1689006106,Rowan Cheung
